序号,名  称,一级分类编码,二级分类编码,食部(%),水分(g),能量（千卡）,能量（千焦）,蛋白质(g),脂肪(g),碳水化物(g),膳食纤维(g),胆固醇(mg),灰分(g),维生素A(μgRE),硫胺素(mg),核黄素(mg),维生素B6(mg),维生素B12(mg),叶酸(ug),烟碱(mg),维生素C(mg),维生素E(mg),钙(mg),磷(mg),钾(mg),钠(mg),镁(mg),铁(mg),锌(mg),硒(mg),铜(mg),锰(mg),碘(mg),胡萝卜素(μg),视黄醇(μg),尼克酸/烟酸(mg),α-维生素E(mg)
1,小麦,11,11101,100,10.0,338,1416,11.9,1.3,75.2,10.8,0,1.6,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.82,34,325.0,289,0.0,4,5.1,2.33,4.05,0.43,3.1,0,0,0.0,4.0,1.48
2,五谷香,11,11102,100,5.6,378,1580,9.9,2.6,78.9,0.5,0,3.0,0.0,0.11,0.19,0.0,0.0,0.0,0.0,0.0,2.31,2,13.0,7,0.0,0,0.5,0.23,1.15,0.08,0.05,0,0,0.0,0.0,0.0
3,小麦粉（代表值）,11,11201,100,11.2,359,1512,12.4,1.7,74.1,0.8,0,0.7,0.0,0.2,0.06,0.0,0.0,0.0,1.57,0.0,0.66,28,136.0,185,0.0,53,1.4,0.69,7.1,0.23,0.37,0,0,0.0,2.0,1.59
4,小麦粉（富强粉，特一粉）,11,11202,100,12.7,351,1467,10.3,1.1,75.2,0.6,0,0.7,0.0,0.17,0.06,0.0,0.0,0.0,0.0,0.0,0.73,27,114.0,128,0.0,32,2.7,0.97,6.88,0.26,0.77,0,0,0.0,2.0,0.51
5,小麦粉（特二粉）,11,11203,100,12.0,352,1472,10.4,1.1,75.9,1.6,0,0.6,0.0,0.15,0.11,0.0,0.0,0.0,0.0,0.0,1.25,30,120.0,124,0.0,48,3.0,0.96,6.01,0.58,0.92,0,0,0.0,2.0,0.7
6,小麦胚粉,11,11204,100,4.3,403,1687,36.4,10.1,44.5,5.6,0,4.7,0.0,3.5,0.79,0.0,0.0,0.0,0.0,0.0,23.2,85,1168.0,1523,0.0,198,0.6,23.4,65.2,0.83,17.3,0,0,0.0,3.7,20.64
7,麸皮,11,11205,100,14.5,282,1181,15.8,4.0,61.4,31.3,0,4.3,20.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,4.47,206,682.0,862,0.0,382,9.9,5.98,7.12,2.03,10.85,0,120,20.0,12.5,0.0
8,小麦粉（标准粉）,11,11206,100,9.9,362,1531,15.7,2.5,70.9,0.0,0,1.0,0.0,0.46,0.05,0.0,0.0,0.0,1.91,0.0,0.32,31,167.0,190,0.0,50,0.6,0.2,7.42,0.06,0.1,0,0,0.0,0.0,0.0
9,小麦粉（富强粉、特一粉）,11,11207,100,10.8,362,1534,12.3,1.5,74.9,0.0,0,0.5,0.0,0.11,0.03,0.0,0.0,0.0,0.94,0.0,0.32,27,114.0,128,0.0,32,0.7,0.39,6.79,0.03,0.04,0,0,0.0,0.0,0.0
10,小麦粉（特制）,11,11208,100,10.4,366,1554,13.3,2.2,73.5,0.3,0,0.6,0.0,0.09,0.04,0.0,0.0,0.0,1.01,0.0,0.0,23,167.0,356,0.0,105,0.0,0.94,8.41,0.0,0.02,0,0,0.0,0.0,0.0
11,挂面（代表值）,11,11301,100,11.5,353,1483,11.4,0.9,75.1,0.9,0,1.0,0.0,0.17,0.04,0.0,0.0,0.0,2.09,0.0,1.11,20,134.0,129,0.0,49,2.3,0.72,9.21,0.27,0.71,0,0,0.0,2.5,0.42
12,挂面（标准粉）,11,11302,100,12.4,348,1454,10.1,0.7,76.0,1.6,0,0.8,0.0,0.19,0.04,0.0,0.0,0.0,0.0,0.0,1.11,14,153.0,157,0.0,51,3.5,1.22,9.9,0.44,1.28,0,0,0.0,2.5,0.21
13,挂面（精制龙须面）,11,11304,100,11.9,348,1455,11.2,0.5,74.7,0.2,0,1.7,0.0,0.18,0.03,0.0,0.0,0.0,0.0,0.0,0.0,26,137.0,109,0.0,48,2.3,0.87,14.28,0.33,0.81,0,0,0.0,2.5,0.0
14,面条（生，代表值）,11,11305,100,24.2,301,1262,8.9,0.6,65.6,0.8,0,0.8,0.0,0.22,0.07,0.0,0.0,0.0,1.8,0.0,0.47,12,139.0,123,0.0,42,4.3,1.09,6.59,0.15,0.71,0,0,0.0,1.4,0.2
15,面条（标准粉，切面）,11,11306,100,29.7,283,1186,8.5,1.6,59.5,1.5,0,0.7,0.0,0.35,0.1,0.0,0.0,0.0,0.0,0.0,0.47,13,142.0,161,0.0,61,2.6,1.07,0.4,0.2,1.35,0,0,0.0,3.1,0.0
16,面条（特粉，切面）,11,11308,100,27.5,287,1200,7.3,0.1,64.5,0.6,0,0.6,0.0,0.17,0.09,0.0,0.0,0.0,0.0,0.0,0.47,3,181.0,128,0.0,36,4.7,1.68,15.82,0.16,0.74,0,0,0.0,0.3,0.09
17,面条（干切面）,11,11310,100,10.5,355,1487,11.0,0.1,77.7,0.2,0,0.7,0.0,0.28,0.05,0.0,0.0,0.0,0.0,0.0,0.0,8,142.0,100,0.0,42,9.6,1.5,7.78,0.22,0.72,0,0,0.0,2.7,0.0
18,面条（虾蓉面）,11,11311,100,6.1,436,1824,8.5,15.1,68.3,3.6,0,2.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.22,17,92.0,101,0.0,24,2.0,0.0,9.39,0.45,0.0,0,0,0.0,2.8,1.22
19,通心面[通心粉],11,11312,100,11.8,351,1468,11.9,0.1,75.8,0.4,0,0.4,0.0,0.12,0.03,0.0,0.0,0.0,0.0,0.0,0.0,14,97.0,209,0.0,58,2.6,1.55,5.8,0.16,0.67,0,0,0.0,1.0,0.0
20,挂面（富强粉）,11,11313,100,12.7,363,1539,13.0,1.5,74.7,0.3,0,1.1,0.0,0.2,0.04,0.0,0.0,0.0,0.0,0.0,0.88,21,112.0,122,0.0,48,3.2,0.74,11.13,0.4,0.68,0,0,0.0,0.0,0.0
21,龙须面（素）,11,11314,100,10.4,359,1524,10.8,1.8,75.7,0.0,0,1.3,0.0,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,15,86.0,77,0.0,19,2.2,1.19,2.51,0.14,0.49,0,0,0.0,0.0,0.0
22,龙须面（鸡蛋）,11,11315,100,10.2,352,1491,14.0,1.8,71.5,0.0,0,2.5,0.0,0.17,0.05,0.0,0.0,0.0,0.9,0.0,0.21,12,140.0,529,0.0,25,1.5,0.83,3.34,0.17,0.47,0,0,0.0,0.0,0.0
23,面条（富强粉，切面）,11,11316,100,29.0,277,1176,8.9,0.4,60.7,0.0,0,1.0,0.0,0.07,0.02,0.0,0.0,0.0,1.1,0.0,0.0,24,92.0,102,0.0,29,0.4,0.12,2.34,0.02,0.04,0,0,0.0,0.0,0.0
24,面条（富强粉，煮）,11,11317,100,72.7,107,453,3.9,0.4,22.8,0.0,0,0.2,0.0,0.02,0.01,0.0,0.0,0.0,0.56,0.0,0.0,4,24.0,15,0.0,10,0.2,0.1,1.16,0.01,0.01,0,0,0.0,0.0,0.0
25,花卷,11,11401,100,45.7,214,895,6.4,1.0,45.6,1.5,0,1.3,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,19,72.0,83,0.0,12,0.4,0.0,6.17,0.09,0.0,0,0,0.0,1.1,0.0
26,空锅饼,11,11402,100,29.4,278,1165,8.6,0.2,60.9,0.7,0,0.9,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.08,2,133.0,138,0.0,30,5.8,1.73,24.19,0.13,0.78,0,0,0.0,0.0,0.08
